Year,Amount of Users Affected in millions
2013,3300000.0
2014,34500000.0
2015,34100000.0
2016,129100000.0
2017,5800000.0
2018,28300000.0
2019,279900000.0
2020,191200000.0
2021,250400000.0
2022,702200000.0
2023,1121300000.0
