Year,Amount of Users Affected in millions
2013,8980000.0
2014,7300000.0
2015,1340000.0
2016,14840000.0
2017,5110000.0
2018,10210000.0
2019,6210000.0
2020,640000.0
2021,480000.0
2022,1200000.0
2023,1050000.0
